ten_truong,ma_nganh,ten_nganh,diem_chuan,he_dao_tao,dia_chi,latitude,longitude,chat_luong,nhom_xep_hang,khu_vuc,linh_vuc,hoc_phi,canh_tranh,co_hoi_viec_lam,hoc_bong,chuong_trinh_lien_ket
Đại học Công nghiệp Hà Nội,MA0234,Công nghệ vật liệu,24.3,Liên kết quốc tế,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03552199,105.8103976,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Tài chính,MA0235,Tài chính - Ngân hàng,24.4,Chính quy,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.04246495,105.7942317,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Giao thông Vận tải,MA0236,Kỹ thuật ô tô,24.5,Chất lượng cao,"3 Cầu Giấy, Hà Nội",21.02917535,105.7978501,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Y tế Công cộng,MA0237,Y tế công cộng,24.6,Liên kết quốc tế,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.0389601,105.7990936,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Ngân hàng,MA0238,Tài chính ngân hàng,24.7,Chính quy,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03806383,105.7988034,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Học viện Ngoại giao,MA0239,Quan hệ quốc tế,24.8,Chất lượng cao,"69 Chùa Láng, Đống Đa, Hà Nội",21.03020627,105.7939386,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Mở Hà Nội,MA0240,Quản trị nhân lực,24.9,Liên kết quốc tế,"96 Định Công, Hoàng Mai, Hà Nội",21.03934751,105.7940358,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Mỹ thuật Công nghiệp,MA0241,Thiết kế thời trang,22,Chính quy,"360 Đê La Thành, Đống Đa, Hà Nội",21.03960382,105.7973081,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Văn hóa Hà Nội,MA0242,Quản lý văn hóa,22.1,Chất lượng cao,"418 Đê La Thành, Đống Đa, Hà Nội",21.02403687,105.811719,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Phụ nữ Việt Nam,MA0243,Công tác xã hội,22.2,Liên kết quốc tế,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.04114775,105.8034543,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Hành chính Quốc gia,MA0244,Quản lý nhà nước,22.3,Chính quy,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03104678,105.7950392,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Âm nhạc Quốc gia Việt Nam,MA0245,Âm nhạc học,22.4,Chất lượng cao,"77 Hào Nam, Đống Đa, Hà Nội",21.03156051,105.7970837,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Luật Hà Nội,MA0246,Luật,22.5,Liên kết quốc tế,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03561689,105.7981589,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Phòng cháy chữa cháy,MA0247,Kỹ thuật phòng cháy,22.6,Chính quy,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03235015,105.8092913,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Khoa học Xã hội và Nhân văn,MA0248,Xã hội học,22.7,Chất lượng cao,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.02429187,105.7952346,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0249,Ngôn ngữ Anh,22.8,Liên kết quốc tế,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03726967,105.7986313,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Sân khấu - Điện ảnh,MA0250,Đạo diễn điện ảnh,22.9,Chính quy,"Mai Dịch, Cầu Giấy, Hà Nội",21.02367764,105.7977873,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Quốc gia Hà Nội,MA0251,Công nghệ thông tin,23,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.0327113,105.7979483,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Sư phạm Hà Nội,MA0252,Kỹ thuật điện,23.1,Liên kết quốc tế,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03464865,105.807557,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Công nghệ - ĐHQG Hà Nội,MA0253,Khoa học máy tính,23.2,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03586102,105.794542,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Kỹ thuật Quân sự,MA0254,Kỹ thuật hàng không,23.3,Chất lượng cao,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03033131,105.7971283,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Công nghệ BCVT,MA0255,An toàn thông tin,23.4,Liên kết quốc tế,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03691424,105.8109234,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Thương mại,MA0256,Quản trị kinh doanh,23.5,Chính quy,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.03909257,105.800222,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Điện lực,MA0257,Kỹ thuật điện tử,23.6,Chất lượng cao,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03693957,105.7958913,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Kinh tế Quốc dân,MA0258,Kinh tế quốc tế,23.7,Liên kết quốc tế,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.02671566,105.8110758,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Công nghiệp Hà Nội,MA0259,Công nghệ vật liệu,23.8,Chính quy,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.04068731,105.806149,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Tài chính,MA0260,Tài chính - Ngân hàng,23.9,Chất lượng cao,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.03917863,105.8087976,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Giao thông Vận tải,MA0261,Kỹ thuật ô tô,24,Liên kết quốc tế,"3 Cầu Giấy, Hà Nội",21.03653346,105.7966054,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Y tế Công cộng,MA0262,Y tế công cộng,24.1,Chính quy,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.03398623,105.7971756,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Học viện Ngân hàng,MA0263,Tài chính ngân hàng,24.2,Chất lượng cao,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03280763,105.8115831,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Ngoại giao,MA0264,Quan hệ quốc tế,24.3,Liên kết quốc tế,"69 Chùa Láng, Đống Đa, Hà Nội",21.03281073,105.8078588,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Mở Hà Nội,MA0265,Quản trị nhân lực,24.4,Chính quy,"96 Định Công, Hoàng Mai, Hà Nội",21.03934738,105.8120241,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Mỹ thuật Công nghiệp,MA0266,Thiết kế thời trang,24.5,Chất lượng cao,"360 Đê La Thành, Đống Đa, Hà Nội",21.02390606,105.80832,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Văn hóa Hà Nội,MA0267,Quản lý văn hóa,24.6,Liên kết quốc tế,"418 Đê La Thành, Đống Đa, Hà Nội",21.02564659,105.8055127,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Phụ nữ Việt Nam,MA0268,Công tác xã hội,24.7,Chính quy,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.04266563,105.8127004,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Hành chính Quốc gia,MA0269,Quản lý nhà nước,24.8,Chất lượng cao,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03792656,105.8083636,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Âm nhạc Quốc gia Việt Nam,MA0270,Âm nhạc học,24.9,Liên kết quốc tế,"77 Hào Nam, Đống Đa, Hà Nội",21.03468567,105.8030055,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Luật Hà Nội,MA0271,Luật,22,Chính quy,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.04047577,105.8111346,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Phòng cháy chữa cháy,MA0272,Kỹ thuật phòng cháy,22.1,Chất lượng cao,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.04235308,105.8121828,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Khoa học Xã hội và Nhân văn,MA0273,Xã hội học,22.2,Liên kết quốc tế,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.0378116,105.8014182,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0274,Ngôn ngữ Anh,22.3,Chính quy,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03375673,105.7959089,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Sân khấu - Điện ảnh,MA0275,Đạo diễn điện ảnh,22.4,Chất lượng cao,"Mai Dịch, Cầu Giấy, Hà Nội",21.0395538,105.8023959,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Quốc gia Hà Nội,MA0276,Công nghệ thông tin,22.5,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.02569629,105.807772,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Sư phạm Hà Nội,MA0277,Kỹ thuật điện,22.6,Chính quy,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.03695334,105.8111716,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Công nghệ - ĐHQG Hà Nội,MA0278,Khoa học máy tính,22.7,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03970765,105.8000298,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Kỹ thuật Quân sự,MA0279,Kỹ thuật hàng không,22.8,Liên kết quốc tế,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03369142,105.8020708,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Công nghệ BCVT,MA0280,An toàn thông tin,22.9,Chính quy,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03168601,105.8013196,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Thương mại,MA0281,Quản trị kinh doanh,23,Chất lượng cao,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.03818152,105.8004612,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Điện lực,MA0282,Kỹ thuật điện tử,23.1,Liên kết quốc tế,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03503129,105.7934586,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Kinh tế Quốc dân,MA0283,Kinh tế quốc tế,23.2,Chính quy,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.04089841,105.7997113,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Công nghiệp Hà Nội,MA0284,Công nghệ vật liệu,23.3,Chất lượng cao,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.03054291,105.7944439,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Học viện Tài chính,MA0285,Tài chính - Ngân hàng,23.4,Liên kết quốc tế,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.04182279,105.8125375,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Giao thông Vận tải,MA0286,Kỹ thuật ô tô,23.5,Chính quy,"3 Cầu Giấy, Hà Nội",21.03587521,105.8119572,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Y tế Công cộng,MA0287,Y tế công cộng,23.6,Chất lượng cao,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.03436208,105.7965451,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Ngân hàng,MA0288,Tài chính ngân hàng,23.7,Liên kết quốc tế,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03222074,105.8017941,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Ngoại giao,MA0289,Quan hệ quốc tế,23.8,Chính quy,"69 Chùa Láng, Đống Đa, Hà Nội",21.02443135,105.8014871,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Mở Hà Nội,MA0290,Quản trị nhân lực,23.9,Chất lượng cao,"96 Định Công, Hoàng Mai, Hà Nội",21.03168153,105.7951607,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Mỹ thuật Công nghiệp,MA0291,Thiết kế thời trang,24,Liên kết quốc tế,"360 Đê La Thành, Đống Đa, Hà Nội",21.02901046,105.7985614,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Văn hóa Hà Nội,MA0292,Quản lý văn hóa,24.1,Chính quy,"418 Đê La Thành, Đống Đa, Hà Nội",21.02499795,105.7949528,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Phụ nữ Việt Nam,MA0293,Công tác xã hội,24.2,Chất lượng cao,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03062139,105.8114798,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Hành chính Quốc gia,MA0294,Quản lý nhà nước,24.3,Liên kết quốc tế,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02521908,105.8132173,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Âm nhạc Quốc gia Việt Nam,MA0295,Âm nhạc học,24.4,Chính quy,"77 Hào Nam, Đống Đa, Hà Nội",21.04139747,105.8076276,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Luật Hà Nội,MA0296,Luật,24.5,Chất lượng cao,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03388555,105.8059051,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Phòng cháy chữa cháy,MA0297,Kỹ thuật phòng cháy,24.6,Liên kết quốc tế,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.03529424,105.8062879,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Khoa học Xã hội và Nhân văn,MA0298,Xã hội học,24.7,Chính quy,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.03293361,105.8084797,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0299,Ngôn ngữ Anh,24.8,Chất lượng cao,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03807743,105.8066327,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Sân khấu - Điện ảnh,MA0300,Đạo diễn điện ảnh,24.9,Liên kết quốc tế,"Mai Dịch, Cầu Giấy, Hà Nội",21.03566601,105.8021712,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Quốc gia Hà Nội,MA0301,Công nghệ thông tin,22,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.02646618,105.793467,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Sư phạm Hà Nội,MA0302,Kỹ thuật điện,22.1,Chất lượng cao,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.02932663,105.8071883,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Công nghệ - ĐHQG Hà Nội,MA0303,Khoa học máy tính,22.2,Liên kết quốc tế,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.04198685,105.7970509,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Học viện Kỹ thuật Quân sự,MA0304,Kỹ thuật hàng không,22.3,Chính quy,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03894295,105.8040019,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Công nghệ BCVT,MA0305,An toàn thông tin,22.4,Chất lượng cao,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03964074,105.7975371,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Thương mại,MA0306,Quản trị kinh doanh,22.5,Liên kết quốc tế,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.0397079,105.8043338,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Điện lực,MA0307,Kỹ thuật điện tử,22.6,Chính quy,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.02497423,105.7969447,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Kinh tế Quốc dân,MA0308,Kinh tế quốc tế,22.7,Chất lượng cao,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.02908474,105.8093053,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Công nghiệp Hà Nội,MA0309,Công nghệ vật liệu,22.8,Liên kết quốc tế,"298 Cầu Diễn, Bắc Từ Liêm, Hà Nội",21.02382523,105.8052902,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Học viện Tài chính,MA0310,Tài chính - Ngân hàng,22.9,Chính quy,"58 Lê Văn Hiến, Bắc Từ Liêm, Hà Nội",21.02480992,105.798963,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Giao thông Vận tải,MA0311,Kỹ thuật ô tô,23,Chất lượng cao,"3 Cầu Giấy, Hà Nội",21.04016693,105.8038992,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Y tế Công cộng,MA0312,Y tế công cộng,23.1,Liên kết quốc tế,"1A Đức Thắng, Bắc Từ Liêm, Hà Nội",21.04236734,105.8123585,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Học viện Ngân hàng,MA0313,Tài chính ngân hàng,23.2,Chính quy,"12 Chùa Bộc, Đống Đa, Hà Nội",21.03746842,105.8098101,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Học viện Ngoại giao,MA0314,Quan hệ quốc tế,23.3,Chất lượng cao,"69 Chùa Láng, Đống Đa, Hà Nội",21.02995196,105.796937,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Mở Hà Nội,MA0315,Quản trị nhân lực,23.4,Liên kết quốc tế,"96 Định Công, Hoàng Mai, Hà Nội",21.02463706,105.8068135,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Mỹ thuật Công nghiệp,MA0316,Thiết kế thời trang,23.5,Chính quy,"360 Đê La Thành, Đống Đa, Hà Nội",21.03263115,105.7962572,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Đại học Văn hóa Hà Nội,MA0317,Quản lý văn hóa,23.6,Chất lượng cao,"418 Đê La Thành, Đống Đa, Hà Nội",21.04157215,105.7949317,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Phụ nữ Việt Nam,MA0318,Công tác xã hội,23.7,Liên kết quốc tế,"68 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.02941445,105.8047655,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Học viện Hành chính Quốc gia,MA0319,Quản lý nhà nước,23.8,Chính quy,"77 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.0362229,105.7944258,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Học viện Âm nhạc Quốc gia Việt Nam,MA0320,Âm nhạc học,23.9,Chất lượng cao,"77 Hào Nam, Đống Đa, Hà Nội",21.02959776,105.8063046,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Luật Hà Nội,MA0321,Luật,24,Liên kết quốc tế,"87 Nguyễn Chí Thanh, Đống Đa, Hà Nội",21.03129433,105.7978359,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
Đại học Phòng cháy chữa cháy,MA0322,Kỹ thuật phòng cháy,24.1,Chính quy,"243 Khuất Duy Tiến, Thanh Xuân, Hà Nội",21.0276022,105.8132526,Chất lượng cao,Tầm trung,Cầu Giấy,Kỹ thuật,Thấp,Cao,Cao,Không,Không
Đại học Khoa học Xã hội và Nhân văn,MA0323,Xã hội học,24.2,Chất lượng cao,"336 Nguyễn Trãi, Thanh Xuân, Hà Nội",21.03340213,105.8064237,Tầm trung,Top đầu,Cầu Giấy,Kinh tế,Trung bình,Trung bình,Trung bình,Có,Có
Đại học Ngoại ngữ - ĐHQG Hà Nội,MA0324,Ngôn ngữ Anh,24.3,Liên kết quốc tế,"Phạm Văn Đồng, Cầu Giấy, Hà Nội",21.03008165,105.7993877,Bình thường,Tầm trung,Cầu Giấy,Y - Dược,Cao,Thấp,Thấp,Không,Không
Đại học Sân khấu - Điện ảnh,MA0325,Đạo diễn điện ảnh,24.4,Chính quy,"Mai Dịch, Cầu Giấy, Hà Nội",21.04014086,105.8007169,Chất lượng cao,Top đầu,Cầu Giấy,Khoa học tự nhiên,Thấp,Cao,Cao,Có,Có
Đại học Quốc gia Hà Nội,MA0326,Công nghệ thông tin,24.5,Chất lượng cao,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03189507,105.8056514,Tầm trung,Tầm trung,Cầu Giấy,Kỹ thuật,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Sư phạm Hà Nội,MA0327,Kỹ thuật điện,24.6,Liên kết quốc tế,"136 Xuân Thủy, Cầu Giấy, Hà Nội",21.02922983,105.8036375,Bình thường,Top đầu,Cầu Giấy,Kinh tế,Cao,Thấp,Thấp,Có,Có
Đại học Công nghệ - ĐHQG Hà Nội,MA0328,Khoa học máy tính,24.7,Chính quy,"144 Xuân Thủy, Cầu Giấy, Hà Nội",21.03977048,105.8120516,Chất lượng cao,Tầm trung,Cầu Giấy,Y - Dược,Thấp,Cao,Cao,Không,Không
Học viện Kỹ thuật Quân sự,MA0329,Kỹ thuật hàng không,24.8,Chất lượng cao,"236 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03804539,105.8052537,Tầm trung,Top đầu,Cầu Giấy,Khoa học tự nhiên,Trung bình,Trung bình,Trung bình,Có,Có
Học viện Công nghệ BCVT,MA0330,An toàn thông tin,24.9,Liên kết quốc tế,"122 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03032002,105.8027382,Bình thường,Tầm trung,Cầu Giấy,Kỹ thuật,Cao,Thấp,Thấp,Không,Không
Đại học Thương mại,MA0331,Quản trị kinh doanh,22,Chính quy,"79 Hồ Tùng Mậu, Cầu Giấy, Hà Nội",21.02756027,105.812166,Chất lượng cao,Top đầu,Cầu Giấy,Kinh tế,Thấp,Cao,Cao,Có,Có
Đại học Điện lực,MA0332,Kỹ thuật điện tử,22.1,Chất lượng cao,"235 Hoàng Quốc Việt, Cầu Giấy, Hà Nội",21.03733372,105.8125769,Tầm trung,Tầm trung,Cầu Giấy,Y - Dược,Trung bình,Trung bình,Trung bình,Không,Không
Đại học Kinh tế Quốc dân,MA0333,Kinh tế quốc tế,22.2,Liên kết quốc tế,"207 Giải Phóng, Hai Bà Trưng, Hà Nội",21.03960923,105.8011856,Bình thường,Top đầu,Cầu Giấy,Khoa học tự nhiên,Cao,Thấp,Thấp,Có,Có
